Date,Pptn,PET,streamflow
1989-01-01,0,1.96278494689631,0.150369491978584
1989-01-02,0,2.01031046517447,0.150369491978584
1989-01-03,0.06232660143747,1.87434928382141,0.151115742559123
1989-01-04,0,1.88846708195954,0.178353888748792
1989-01-05,0,2.00666417644892,0.177607638168253
1989-01-06,0,2.07831156704015,0.181712016361217
1989-01-07,0,2.16592123141569,0.177234512877984
1989-01-08,0,1.96508348508928,0.180965765780678
1989-01-09,0,1.54571422248606,0.183577642812565
1989-01-10,0,1.79028943199256,0.182085141651487
1989-01-11,0,1.84439991027686,0.184697018683373
1989-01-12,0,1.85721973893995,0.183577642812565
1989-01-13,0,1.93005374732819,0.183577642812565
1989-01-14,0,2.08801806411641,0.176488262297445
1989-01-15,0,2.15552982606252,0.179100139329331
1989-01-16,0,2.17043327891752,0.183950768102834
1989-01-17,0,2.05801740275761,0.17313013468502
1989-01-18,0,2.0795857493732,0.17313013468502
1989-01-19,0,2.20724209621978,0.175368886426637
1989-01-20,0,2.1220111886375,0.167160130040709
1989-01-21,0,2.03965681802075,0.17350325997529
1989-01-22,0,1.99746145747772,0.173876385265559
1989-01-23,0,1.97127864656783,0.174995761136367
1989-01-24,0,2.05656136822621,0.176861387587715
1989-01-25,0,2.14014977964488,0.176861387587715
1989-01-26,0,2.26927643854513,0.176861387587715
1989-01-27,0,2.28421370426,0.167906380621248
1989-01-28,0,2.22482133358356,0.166040754169901
1989-01-29,0,2.23962176227901,0.166040754169901
1989-01-30,0,2.25977629639581,0.155220120752087
1989-01-31,0,2.31681759244338,0.152235118429932
1989-02-01,0,2.44095862601721,0.151861993139662
1989-02-02,0,2.40891723087192,0.154473870171548
1989-02-03,0,2.37678912227136,0.151115742559123
1989-02-04,0,2.4563712485999,0.148130740236968
1989-02-05,0,2.45361829932385,0.147384489656429
1989-02-06,0,2.61913534775873,0.14626511378562
1989-02-07,0,2.55025594005149,0.147757614946698
1989-02-08,0,2.49939007043467,0.142533860882926
1989-02-09,0,2.49018995479309,0.138802607980232
1989-02-10,0,2.55090093259441,0.135817605658076
1989-02-11,0,2.53723286720126,0.138802607980232
1989-02-12,0,2.47124095069614,0.139175733270501
1989-02-13,0,2.58844780572627,0.13992198385104
1989-02-14,0,2.74542660221342,0.136936981528885
1989-02-15,0,2.7457824676799,0.133951979206729
1989-02-16,0,2.83960635847843,0.129101350433226
1989-02-17,0,2.72173916499756,0.128728225142957
1989-02-18,0,2.76055071168103,0.127608849272148
1989-02-19,0,2.47738392815349,0.127981974562418
1989-02-20,0,2.56314980637263,0.127981974562418
1989-02-21,0,2.72698987258853,0.114922589402988
1989-02-22,0,2.74099926280674,0.116415090564065
1989-02-23,0,2.68403598606346,0.116041965273796
1989-02-24,0,2.77083219037769,0.114922589402988
1989-02-25,0,2.92348153429588,0.116041965273796
1989-02-26,0,2.98953433261027,0.115668839983526
1989-02-27,0,3.08760711296762,0.114922589402988
1989-02-28,0,3.10668023229376,0.108952584758676
1989-03-01,0,3.08625663300129,0.11305696295164
1989-03-02,0,3.05962700331335,0.124250721659724
1989-03-03,0,2.98361378834277,0.116415090564065
1989-03-04,0,2.97322078947725,0.103355705404635
1989-03-05,0,3.0733137319944,0.103355705404635
1989-03-06,0,3.12481277707412,0.097385700760324
1989-03-07,0,2.82633293955944,0.09999757779221
1989-03-08,1.12462311179862,2.07967856365937,0.102609454824096
1989-03-09,3.91703144243579,2.98171978766915,0.14663823907589
1989-03-10,0.540452407927506,1.8119582504548,0.125743222820801
1989-03-11,3.50075740399034,2.66184627215491,0.127235723981879
1989-03-12,2.94142818523605,3.0510224621737,0.134325104496998
1989-03-13,0,3.24865447547603,0.130593851594304
1989-03-14,0.395750419498645,3.17313606653715,0.132459478045651
1989-03-15,0,3.21454662480559,0.11977321817649
1989-03-16,0.000763687649653,3.2468068567694,0.111191336500293
1989-03-17,0,3.36640263633219,0.108952584758676
1989-03-18,0,3.01690476346889,0.097758826050593
1989-03-19,0,3.18565379246583,0.09999757779221
1989-03-20,0,3.58149254146835,0.099251327211671
1989-03-21,0,3.47397164483473,0.097012575470055
1989-03-22,0,3.39976287177325,0.09328132256736
1989-03-23,0,3.61072581998274,0.091415696116013
1989-03-24,0,2.98032135943913,0.091415696116013
1989-03-25,1.45608997721236,3.42143019710988,0.09328132256736
1989-03-26,2.09741143605409,2.8274890787301,0.104475081275443
1989-03-27,0.355208613952615,1.0010300488168,0.11305696295164
1989-03-28,4.89573580355997,2.35227436468447,0.127608849272148
1989-03-29,0.803464939768287,3.18682821517468,0.141041359721848
1989-03-30,0.384976320065502,3.50382933591907,0.147757614946698
1989-03-31,0,3.84369480142522,0.149250116107776
1989-04-01,0,3.95131867818973,0.101116953663018
1989-04-02,0,3.86251139675853,0.095146949018707
1989-04-03,0,3.77308876412482,0.090669445535474
1989-04-04,0,3.7116716753797,0.094400698438168
1989-04-05,0,3.67724565222574,0.082087563859277
1989-04-06,0,3.741482640947,0.06678942695823
1989-04-07,0,3.81972128044928,0.066043176377691
1989-04-08,0,3.90308611334549,0.066043176377691
1989-04-09,0,3.91167257056471,0.064177549926344
1989-04-10,0,3.96759190469872,0.064177549926344
1989-04-11,0,3.88426586568884,0.061192547604188
1989-04-12,0,3.86740675894782,0.06641630166796
1989-04-13,0,3.90959232914687,0.060446297023649
1989-04-14,0,3.9435657652604,0.060446297023649
1989-04-15,0,3.88963431607349,0.060446297023649
1989-04-16,0,3.86093752118633,0.060446297023649
1989-04-17,0,3.9848642484154,0.065296925797152
1989-04-18,0,3.92493078905344,0.060819422313919
